2,1.0936,185
0,0.030008,165
2,1.1195,195
2,1.8989,185
0,0.08462,75
2,3.1101,75
0,0.24171,255
0,0.16717,185
2,1.935,205
0,0.11323,205
2,1.6402,105
2,1.5527,105
0,0.020358,215
2,1.1092,185
2,1.0614,225
0,0.068165,135
2,1.2565,65
0,0.10687,265
1,1,135
1,1.0005,95
0,0.24985,105
2,1.7416,95
1,1,105
2,1.0339,105
2,1.1241,205
0,0.096628,185
2,1.8484,105
0,0.38491,195
0,0.068532,165
2,1.0476,265
0,0.30786,195
2,3.4672,185
0,0.021957,175
2,1.377,85
2,1.8457,245
2,1.0366,115
0,0.31126,155
1,1,135
1,1,155
2,3.1569,75
0,0.33685,85
3,1.2863,325
2,2.3087,75
0,0.058579,235
1,1,75
2,1.3548,115
0,0.14213,145
0,0.10607,165
0,0.1032,195
0,0.25769,255
0,0.034335,155
1,1.0015,165
2,2.6479,75
0,0.11718,145
2,1.0208,105
0,0.088019,155
1,1.0006,105
0,0.17782,105
0,0.093297,225
1,0.25661,315
0,0.088697,75
0,0.13448,245
1,1,85
0,0.14104,165
0,0.28644,165
0,0.15913,175
0,0.042563,145
0,0.049358,185
0,0.25707,255
2,2.2114,235
2,1.9555,135
2,1.0186,105
2,1.3437,215
3,1.5028,155
0,0.16773,185
0,0.37608,245
2,1.6966,265
2,1.1158,295
2,1.1377,85
1,1.0003,205
0,0.046381,165
0,0.11478,175
2,1.053,215
1,0.13832,235
1,1.0002,85
3,4.0144,55
2,1.0603,235
0,0.15829,175
1,1,175
2,1.2789,195
0,0.084705,165
2,1.0606,185
0,0.085023,215
1,1.0014,135
0,0.35059,95
2,2.8197,85
2,2.9386,75
0,0.039795,165
0,0.10614,185
0,0.053847,205
