1,1.005,65
0,0.18279,195
2,1.0904,195
0,0.13116,235
0,0.086395,75
2,3.1143,85
0,0.3815,115
0,0.27338,205
2,2.6704,125
2,2.1748,155
0,0.098976,165
2,1.7345,215
0,0.0094715,155
0,0.21459,165
2,1.187,205
0,0.1727,85
0,0.024896,85
1,1.001,105
1,1,155
1,1.0005,95
0,0.24477,195
2,2.2377,185
1,1,105
2,1.0337,85
0,0.59906,145
0,0.086152,145
2,2.1389,275
2,4.1036,65
2,2.7147,105
2,1.7518,235
0,0.23727,155
0,0.36319,115
1,0.54918,165
2,1.3721,145
0,0.10602,85
2,1.0367,115
1,2.0057,399
1,1,135
2,1.0109,275
2,3.1618,75
0,0.33851,85
0,0.38103,95
2,2.3134,75
0,0.068917,185
1,1.0002,75
3,3.6054,399
0,0.23645,185
0,0.24467,75
2,1.0396,95
2,2.0936,205
0,0.035901,155
1,1.0014,125
2,2.6529,85
0,0.20381,185
2,1.0367,125
0,0.091553,275
1,1.0004,85
0,0.25869,115
0,0.1672,185
1,0.16867,255
2,1.0489,95
2,1.0776,155
1,1,85
2,2.6554,135
0,0.27884,185
0,0.18139,235
0,0.093727,175
2,2.5137,125
0,0.18622,265
0,0.26413,135
2,2.3092,165
2,1.0187,105
0,0.46381,95
2,2.0946,305
0,0.13454,205
0,0.36463,265
0,0.17402,135
2,1.0426,225
2,1.7565,85
1,1,155
0,0.047552,185
2,2.5974,145
0,0.25448,175
0,0.26276,165
1,1.0001,85
2,1.0488,175
0,0.2018,305
2,2.4094,115
2,1.0181,185
2,1.2982,195
2,2.0212,125
2,1.0483,155
2,2.0573,185
1,1.0022,145
0,0.35238,95
2,2.8245,85
2,2.9434,75
2,2.1993,165
1,1.0004,55
0,0.030442,225
