"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange"
-8.547416687011719,31.672006607055664,-0.017569709569215775,0.050018951296806335,0.6127779483795166,-0.02897525765001774,-0.0014341010246425867,0.0029418838676065207,-0.0009127014200203121,0.0031246158760041,-0.001616833033040166
-8.294763565063477,31.675127029418945,-0.016271211206912994,0.04974892735481262,0.612405002117157,-0.029105911031365395,-0.0014338541077449918,0.0029938274528831244,-0.0008979045087471604,0.0031689871102571487,-0.001609013881534338
-8.041481018066406,31.678152084350586,-0.017802678048610687,0.04931259900331497,0.612109899520874,-0.029610207304358482,-0.0014145094901323318,0.0030850491020828485,-0.0008732881979085505,0.003248595166951418,-0.0015780554385855794
-7.788031578063965,31.68104362487793,-0.019916387274861336,0.048878129571676254,0.6118255853652954,-0.030327526852488518,-0.0013953890884295106,0.0032028246205300093,-0.0008448251173831522,0.003353130305185914,-0.0015456948895007372
-7.534925937652588,31.68376350402832,-0.020143982023000717,0.04846581816673279,0.6115564703941345,-0.03083709627389908,-0.0013715913519263268,0.0033347841817885637,-0.0008239292073994875,0.003474857658147812,-0.0015116649447008967
-7.282278060913086,31.68634796142578,-0.01795150153338909,0.04813874885439873,0.6113912463188171,-0.03061767853796482,-0.0013392649125307798,0.003471029456704855,-0.0008073563221842051,0.0036029191687703133,-0.00147115474101156
-7.029662609100342,31.68894386291504,-0.01539421547204256,0.04794396087527275,0.6113153100013733,-0.029787153005599976,-0.0013077185722067952,0.0036081101279705763,-0.0007868855027481914,0.0037309962790459394,-0.0014306048396974802
-6.77647590637207,31.69160270690918,-0.015358220785856247,0.04779171943664551,0.6112045645713806,-0.029471619054675102,-0.001290310057811439,0.003744469489902258,-0.0007635517395101488,0.003857719013467431,-0.001403559697791934
-6.522876262664795,31.6943302154541,-0.017072945833206177,0.04758366197347641,0.6110588908195496,-0.030022066086530685,-0.0012915043625980616,0.0038765608333051205,-0.000737897353246808,0.003979853820055723,-0.0013947972329333425
-6.269073486328125,31.697174072265625,-0.019527776166796684,0.04718038812279701,0.6109344959259033,-0.030883826315402985,-0.001288331113755703,0.004009672906249762,-0.00072185427416116,0.004106264561414719,-0.0013849230017513037
-6.015030384063721,31.700149536132812,-0.02288978174328804,0.04663192108273506,0.6107501983642578,-0.03129930421710014,-0.0012833430664613843,0.004132701549679041,-0.0007119940128177404,0.004224736243486404,-0.0013753778766840696
-5.76118803024292,31.703163146972656,-0.025067688897252083,0.04614632949233055,0.610393226146698,-0.03131762519478798,-0.0012940361630171537,0.004241958726197481,-0.0007003472419455647,0.004329183604568243,-0.0013812611578032374
-5.508066177368164,31.706090927124023,-0.023602575063705444,0.045877717435359955,0.6100083589553833,-0.031146446242928505,-0.0013269855407997966,0.004334497731178999,-0.0006847220356576145,0.004416133277118206,-0.0014086214359849691
-5.255463123321533,31.708951950073242,-0.019474588334560394,0.04572852700948715,0.609870970249176,-0.030892333015799522,-0.001380253117531538,0.0044122012332081795,-0.0006664461689069867,0.004487889818847179,-0.001455941703170538
-5.002488136291504,31.711854934692383,-0.016895269975066185,0.04549439996480942,0.6099052429199219,-0.03060055896639824,-0.001439846702851355,0.004474529530853033,-0.0006465610349550843,0.004544386640191078,-0.0015097036957740784
-4.748636245727539,31.71485710144043,-0.018231095746159554,0.045088011771440506,0.6098788380622864,-0.030285295099020004,-0.0014927430311217904,0.004520864225924015,-0.0006248960271477699,0.004585113376379013,-0.001556991832330823
-4.4945478439331055,31.717864990234375,-0.020449187606573105,0.044635407626628876,0.6097030639648438,-0.030134661123156548,-0.0015336972428485751,0.004554315470159054,-0.0006010243087075651,0.004613082855939865,-0.0015924647450447083
