"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange"
-8.537363052368164,30.924434661865234,-0.015513771213591099,0.08927344530820847,1.5685585737228394,-0.010733682662248611,-0.0015391310444101691,0.0073713199235498905,-0.001690636039711535,0.0076813106425106525,-0.001849121879786253
-8.284819602966309,30.92737579345703,-0.013635882176458836,0.08886856585741043,1.5679742097854614,-0.011173330247402191,-0.0017376389587298036,0.007571602705866098,-0.0017507245065644383,0.007889961823821068,-0.0020559984259307384
-8.532819747924805,30.675186157226562,-0.020649703219532967,0.08951690047979355,1.5667243003845215,-0.01151029672473669,-0.001556831761263311,0.007337323389947414,-0.001743427710607648,0.007666858844459057,-0.0018863675650209188
-8.280133247375488,30.678089141845703,-0.01943434402346611,0.08911412954330444,1.566186547279358,-0.011998027563095093,-0.0017553361831232905,0.007527915760874748,-0.0018035345710814,0.007865991443395615,-0.0020934119820594788
-8.528010368347168,30.426042556762695,-0.027096426114439964,0.08975895494222641,1.5649034976959229,-0.01228036917746067,-0.0015465263277292252,0.007282866630703211,-0.0018017834518104792,0.0076363952830433846,-0.0019000547472387552
-8.275014877319336,30.428936004638672,-0.027340656146407127,0.08935465663671494,1.5643680095672607,-0.01277145929634571,-0.0017402339726686478,0.007468707859516144,-0.0018597166053950787,0.007830090820789337,-0.002101616468280554
-8.022578239440918,30.431766510009766,-0.02466449700295925,0.0888393297791481,1.5635408163070679,-0.013144179247319698,-0.0019392764661461115,0.007651058491319418,-0.0019062993815168738,0.008016085252165794,-0.002304303925484419
-7.769816875457764,30.43473243713379,-0.0233466774225235,0.08840350806713104,1.5628396272659302,-0.013676679693162441,-0.0021291826851665974,0.007838710211217403,-0.001950776670128107,0.00820688996464014,-0.002497362205758691
-7.517168045043945,30.437572479248047,-0.02126828208565712,0.08791501820087433,1.5620486736297607,-0.014099812135100365,-0.0023050610907375813,0.008030693978071213,-0.0019906447269022465,0.008400832302868366,-0.0026751996483653784
-7.264145851135254,30.440227508544922,-0.020771929994225502,0.08730502426624298,1.5612423419952393,-0.014271009713411331,-0.002462600124999881,0.008219970390200615,-0.0020171641372144222,0.008588175289332867,-0.002830805256962776
-7.010180473327637,30.44288444519043,-0.02458040788769722,0.0865790843963623,1.5604031085968018,-0.014011245220899582,-0.0026004156097769737,0.008409974165260792,-0.002028446411713958,0.008771786466240883,-0.0029622274450957775
-6.755814075469971,30.445478439331055,-0.030065851286053658,0.08580191433429718,1.5595672130584717,-0.01377475168555975,-0.0027314794715493917,0.008599809370934963,-0.00202858611010015,0.008952029049396515,-0.003083699382841587
-6.502865791320801,30.448471069335938,-0.028538022190332413,0.08503139764070511,1.5588229894638062,-0.014006565324962139,-0.0028702844865620136,0.008775808848440647,-0.002031416865065694,0.009119976311922073,-0.003214451717212796
-6.25089168548584,30.451332092285156,-0.022153083235025406,0.0842815488576889,1.5581109523773193,-0.014390767551958561,-0.003001353470608592,0.008950406685471535,-0.0020265388302505016,0.009284676983952522,-0.0033356244675815105
-5.9990949630737305,30.454269409179688,-0.014729754067957401,0.08342210948467255,1.5573409795761108,-0.014908459037542343,-0.0031107193790376186,0.009124141186475754,-0.0020071223843842745,0.00944499485194683,-0.003431572811678052
-5.746286392211914,30.456993103027344,-0.011919367127120495,0.08262638747692108,1.5565190315246582,-0.015097937546670437,-0.003217226592823863,0.00930231623351574,-0.001987873576581478,0.0096103735268116,-0.0035252845846116543
-5.492882251739502,30.45964813232422,-0.011716256849467754,0.08183490484952927,1.5557514429092407,-0.014992395415902138,-0.0033223177306354046,0.009491169825196266,-0.001959760207682848,0.009784204885363579,-0.0036153525579720736
-5.239041805267334,30.462430953979492,-0.01335223764181137,0.08111908286809921,1.5551766157150269,-0.014744199812412262,-0.0034286994487047195,0.009688165970146656,-0.001914437860250473,0.009961871430277824,-0.003702404908835888
-4.985368251800537,30.465290069580078,-0.013971452601253986,0.08031024038791656,1.5546468496322632,-0.01500910148024559,-0.003533528419211507,0.009893683716654778,-0.0018516170093789697,0.010144343599677086,-0.0037841876037418842
-4.73162841796875,30.468170166015625,-0.014678813517093658,0.07938450574874878,1.554057240486145,-0.015671076253056526,-0.0036384710110723972,0.010105689987540245,-0.0017848816933110356,0.010333700105547905,-0.003866481361910701
-4.4777326583862305,30.470985412597656,-0.01589486189186573,0.07839908450841904,1.5533446073532104,-0.016232330352067947,-0.0037451153621077538,0.010315630584955215,-0.0017214935505762696,0.010523329488933086,-0.003952814266085625
-4.224109649658203,30.4738826751709,-0.015605573542416096,0.0773119330406189,1.5526765584945679,-0.016572704538702965,-0.0038417165633291006,0.010512487031519413,-0.0016512267757207155,0.010699985548853874,-0.0040292153134942055
-3.970141649246216,30.476909637451172,-0.016706882044672966,0.07627160847187042,1.5521191358566284,-0.016367364674806595,-0.003930754028260708,0.01069188304245472,-0.0015671370783820748,0.010857950896024704,-0.004096821416169405
-3.7155895233154297,30.47981834411621,-0.020306866616010666,0.07531891763210297,1.5516176223754883,-0.01584600657224655,-0.004021101165562868,0.010854250751435757,-0.001475300407037139,0.010999156162142754,-0.004166006110608578
-3.461444854736328,30.4829158782959,-0.021772591397166252,0.0743691623210907,1.551156997680664,-0.015462685376405716,-0.004109954461455345,0.01100155245512724,-0.0013815914280712605,0.011126827448606491,-0.004235229920595884
-3.208254098892212,30.485824584960938,-0.018583569675683975,0.07327818125486374,1.550781011581421,-0.015593968331813812,-0.004187528509646654,0.011126309633255005,-0.0012848543701693416,0.01123336236923933,-0.004294580779969692
-2.955329179763794,30.488672256469727,-0.013955843634903431,0.07217713445425034,1.5504704713821411,-0.01613808609545231,-0.0042477319948375225,0.011228379793465137,-0.0011812456650659442,0.011318021453917027,-0.004337373189628124
-2.7013964653015137,30.491361618041992,-0.01378549262881279,0.07099633663892746,1.5499968528747559,-0.01679806597530842,-0.004300168249756098,0.011311191134154797,-0.0010713458759710193,0.011384369805455208,-0.004373347386717796
-2.4470136165618896,30.494224548339844,-0.015470481477677822,0.06989089399576187,1.5494545698165894,-0.017132660374045372,-0.004354621283710003,0.011376621201634407,-0.0009555843425914645,0.011434454470872879,-0.004412455018609762
-2.1926698684692383,30.497234344482422,-0.016747239977121353,0.06888413429260254,1.5490000247955322,-0.016985982656478882,-0.004414206370711327,0.011429175734519958,-0.000836990016978234,0.011473270133137703,-0.004458300769329071
-1.9389256238937378,30.5003604888916,-0.015042722225189209,0.06780827790498734,1.5486255884170532,-0.01731044426560402,-0.004473840817809105,0.011468429118394852,-0.0007214895449578762,0.011501014232635498,-0.004506425932049751
