"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange"
-8.547416687011719,31.672006607055664,-0.017569709569215775,0.05443568155169487,0.8883516192436218,-0.023853853344917297,-0.0019263727590441704,0.004289558622986078,-0.0008009314187802374,0.004391101188957691,-0.0020279150921851397
-8.294763565063477,31.675127029418945,-0.016271211206912994,0.05404891446232796,0.8879448771476746,-0.023850562050938606,-0.0019374270923435688,0.004384313244372606,-0.0008081326959654689,0.0044859847985208035,-0.002039098646491766
-8.041481018066406,31.678152084350586,-0.017802678048610687,0.053490396589040756,0.8876105546951294,-0.024128936231136322,-0.0019176638452336192,0.004511711187660694,-0.0008189695654436946,0.0046143913641572,-0.002020343905314803
-7.788031578063965,31.68104362487793,-0.019916387274861336,0.052935194224119186,0.8873013854026794,-0.024755587801337242,-0.0018973244586959481,0.0046668825671076775,-0.0008313697180710733,0.0047705406323075294,-0.0020009821746498346
-7.534925937652588,31.68376350402832,-0.020143982023000717,0.05240911245346069,0.8870198726654053,-0.025438183918595314,-0.0018839186523109674,0.004846998490393162,-0.0008520054398104548,0.0049531711265444756,-0.001990091521292925
-7.282278060913086,31.68634796142578,-0.01795150153338909,0.051925040781497955,0.8868081569671631,-0.025614188984036446,-0.001874722307547927,0.005045786499977112,-0.0008786019752733409,0.005155588500201702,-0.001984524540603161
-7.029662609100342,31.68894386291504,-0.01539421547204256,0.05149494856595993,0.8866147398948669,-0.0253462977707386,-0.001876642694696784,0.005251521244645119,-0.0009062119061127305,0.005364925134927034,-0.001990046352148056
-6.77647590637207,31.69160270690918,-0.015358220785856247,0.05110902711749077,0.8863593339920044,-0.025425489991903305,-0.0018960568122565746,0.0054542021825909615,-0.0009329360909759998,0.005570767447352409,-0.002012621844187379
-6.522876262664795,31.6943302154541,-0.017072945833206177,0.05079960078001022,0.8860567808151245,-0.026355193927884102,-0.0019254187354817986,0.005644947290420532,-0.0009550201939418912,0.005763567052781582,-0.002044038148596883
-6.269073486328125,31.697174072265625,-0.019527776166796684,0.050377342849969864,0.8857853412628174,-0.027578627690672874,-0.0019505082163959742,0.00582500034943223,-0.0009802503045648336,0.005946675315499306,-0.0020721834152936935
-6.015030384063721,31.700149536132812,-0.02288978174328804,0.04972745105624199,0.8855520486831665,-0.028227955102920532,-0.0019802229944616556,0.005986369214951992,-0.0010011851554736495,0.006110264454036951,-0.002104118000715971
-5.76118803024292,31.703163146972656,-0.025067688897252083,0.049024228006601334,0.8853012323379517,-0.028238220140337944,-0.002027135342359543,0.006125899031758308,-0.0010100904619321227,0.00624917633831501,-0.0021504126489162445
-5.508066177368164,31.706090927124023,-0.023602575063705444,0.04848546162247658,0.8849875926971436,-0.02777693420648575,-0.0020821436773985624,0.006239798851311207,-0.001008225604891777,0.006360205821692944,-0.002202550880610943
-5.255463123321533,31.708951950073242,-0.019474588334560394,0.04804297536611557,0.8846613168716431,-0.027198426425457,-0.002136027906090021,0.006323459092527628,-0.000998996663838625,0.0064398315735161304,-0.0022524003870785236
-5.002488136291504,31.711854934692383,-0.016895269975066185,0.04750954732298851,0.8843100070953369,-0.026736676692962646,-0.00218863133341074,0.006372018251568079,-0.0009822952561080456,0.006483285687863827,-0.0022998990025371313
-4.748636245727539,31.71485710144043,-0.018231095746159554,0.04689285531640053,0.8839371204376221,-0.02661067247390747,-0.002246185904368758,0.006387959234416485,-0.0009581936756148934,0.006493018474429846,-0.002351245377212763
