"X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange"
4.917082786560059,32.086978912353516,-0.009880277328193188,0.002943403087556362,-0.00014541219570674002,0.00015145882207434624,-7.71485865698196e-05,0.00032352376729249954,8.948742470238358e-05,0.00034260176471434534,-9.622657671570778e-05
5.172198295593262,32.090553283691406,-0.00835381168872118,0.0028817325364798307,-4.297251143725589e-05,0.00042086251778528094,-8.034995698835701e-05,0.0003511120448820293,7.590612949570641e-05,0.0003640764916781336,-9.331441833637655e-05
5.427287578582764,32.09408950805664,-0.0064992825500667095,0.0027799452655017376,8.609389624325559e-05,0.0004356642602942884,-9.569469693815336e-05,0.00037904197233729064,6.79731456330046e-05,0.00038858267362229526,-0.00010523540549911559
5.682295799255371,32.097618103027344,-0.004083182662725449,0.0027198088355362415,0.00017844990361481905,0.00028779226704500616,-0.0001108281867345795,0.00039729574928060174,6.236987246666104e-05,0.00040483937482349575,-0.00011837182682938874
5.937228202819824,32.101165771484375,-0.0011279323371127248,0.0027518761344254017,0.00019700289703905582,-8.133213850669563e-05,-0.00012518238509073853,0.0004105827247258276,5.60263724764809e-05,0.00041637883987277746,-0.00013097851478960365
6.192326068878174,32.10480499267578,0.0013228050665929914,0.002871137112379074,0.00014444405678659678,-0.0006875870749354362,-0.00013599565136246383,0.00041904833051376045,4.9501217290526256e-05,0.0004234284861013293,-0.0001403758069500327
6.447658061981201,32.10845184326172,0.002978759817779064,0.0029574621003121138,7.030580309219658e-05,-0.0009608067921362817,-0.00014403995010070503,0.0004243211296852678,4.413565693539567e-05,0.00042772802407853305,-0.00014744684449397027
6.703128814697266,32.1120719909668,0.004252676386386156,0.0029372642748057842,2.3666463675908744e-05,-0.0008555504027754068,-0.00015331883332692087,0.0004264654708094895,3.9760325307725e-05,0.0004291794612072408,-0.00015603280917275697
6.958548069000244,32.11562728881836,0.005963473115116358,0.0028382795862853527,-1.2576422705024015e-05,-0.00033106288174167275,-0.00016744130698498338,0.00041952679748646915,3.278418444097042e-05,0.00042135221883654594,-0.00016926671378314495
7.213704586029053,32.119041442871094,0.009009851142764091,0.002702142344787717,-6.381260027410462e-05,0.0005145806935615838,-0.00019176265050191432,0.0003854681854136288,1.884097946458496e-05,0.00038608250906690955,-0.00019237695960327983
-8.547416687011719,31.672006607055664,-0.017569709569215775,0.004120098426938057,-0.00023055011115502566,-0.0013540744548663497,-0.0003757578379008919,2.590248732303735e-05,-0.0001358124427497387,6.751362525392324e-05,-0.00041736895218491554
-8.294763565063477,31.675127029418945,-0.016271211206912994,0.0040480876341462135,-0.00030533489189110696,-0.0011453995248302817,-0.0003047361387871206,4.968125722371042e-05,-9.717365901451558e-05,7.457561150658876e-05,-0.00032963050762191415
-8.041481018066406,31.678152084350586,-0.017802678048610687,0.003949889913201332,-0.00028382655000314116,-0.0010087578557431698,-0.0002467864251229912,6.476887938333675e-05,-5.323781806509942e-05,7.361486495938152e-05,-0.00025563238887116313
-7.788031578063965,31.68104362487793,-0.019916387274861336,0.003904986660927534,-0.0002491714258212596,-0.001180228660814464,-0.00020319849136285484,7.768555951770395e-05,-7.449967142747482e-06,7.788300717948005e-05,-0.00020339593174867332
-7.534925937652588,31.68376350402832,-0.020143982023000717,0.003951710648834705,-0.0002586101181805134,-0.0014746753731742501,-0.00017218045832123607,9.528300870442763e-05,3.2110332540469244e-05,9.908400534186512e-05,-0.00017598144768271595
-7.282278060913086,31.68634796142578,-0.01795150153338909,0.004071996547281742,-0.00033164635533466935,-0.0016515246825292706,-0.00014629456563852727,0.00011795765749411657,5.8136236475547776e-05,0.00013018226309213787,-0.0001585191785125062
-7.029662609100342,31.68894386291504,-0.01539421547204256,0.004123190883547068,-0.0004207564634270966,-0.0016396869905292988,-0.00012161825725343078,0.00014069624012336135,7.164719863794744e-05,0.0001589898020029068,-0.00013991183368489146
-6.77647590637207,31.69160270690918,-0.015358220785856247,0.004059146158397198,-0.0004494546155910939,-0.0017130534397438169,-0.00010337308776797727,0.00015685841208323836,7.740844012005255e-05,0.0001781433675205335,-0.0001246580359293148
-6.522876262664795,31.6943302154541,-0.017072945833206177,0.003986553754657507,-0.000431176507845521,-0.0019518586341291666,-9.393462096340954e-05,0.00016673878417350352,8.26147006591782e-05,0.000190716193174012,-0.00011791202996391803
-6.269073486328125,31.697174072265625,-0.019527776166796684,0.00395374558866024,-0.0003520453174132854,-0.0019471811829134822,-9.042191231856123e-05,0.0001750119699863717,7.52736596041359e-05,0.0001948725839611143,-0.00011028253356926143
-6.015030384063721,31.700149536132812,-0.02288978174328804,0.0038776479195803404,-0.00020440274965949357,-0.0015087587526068091,-8.624344627605751e-05,0.00018034904496744275,5.5502179748145863e-05,0.00019144249381497502,-9.733688784763217e-05
-5.76118803024292,31.703163146972656,-0.025067688897252083,0.0037468585651367903,-5.340403731679544e-05,-0.0011546972673386335,-8.440917736152187e-05,0.0001832347479648888,3.118516178801656e-05,0.00018682032532524318,-8.799474744591862e-05
-5.508066177368164,31.706090927124023,-0.023602575063705444,0.0036692044232040644,-4.3839827412739396e-05,-0.0013552125310525298,-9.042271267389879e-05,0.00018452430958859622,6.685354492219631e-06,0.0001846867671702057,-9.058517753146589e-05
-5.255463123321533,31.708951950073242,-0.019474588334560394,0.0037162359803915024,-0.00017364467203151435,-0.0017761904746294022,-9.90532644209452e-05,0.0001869921834440902,-1.7754817235982046e-05,0.00018809000903274864,-0.00010015109728556126
-5.002488136291504,31.711854934692383,-0.016895269975066185,0.003799483645707369,-0.00031244210549630225,-0.0018414279911667109,-9.622049401514232e-05,0.00019147848070133477,-4.112887108931318e-05,0.0001972427126020193,-0.00010198471863986924
-4.748636245727539,31.71485710144043,-0.018231095746159554,0.0037669199518859386,-0.0003419264394324273,-0.0015237412881106138,-8.504779543727636e-05,0.00019654366769827902,-6.134407158242539e-05,0.0002093270159093663,-9.783114364836365e-05
-4.4945478439331055,31.717864990234375,-0.020449187606573105,0.003632949199527502,-0.00028726315940730274,-0.0013180128298699856,-7.958491187309846e-05,0.00019984344544354826,-7.702466245973483e-05,0.00021966877102386206,-9.941023017745465e-05
-4.241008758544922,31.720829010009766,-0.01986340619623661,0.003550642402842641,-0.00024399008543696254,-0.0015374076319858432,-8.223194890888408e-05,0.00020103715360164642,-8.925558358896524e-05,0.00022681498376186937,-0.00010800977179314941
-3.9880330562591553,31.723875045776367,-0.016428017988801003,0.0035731904208660126,-0.00022529129637405276,-0.001855230308137834,-8.807273115962744e-05,0.0002016247744904831,-9.536634752294049e-05,0.0002302000648342073,-0.00011664802877930924
-3.735196113586426,31.727052688598633,-0.01213766261935234,0.003592610592022538,-0.00018795432697515935,-0.0019274877849966288,-9.661863441579044e-05,0.00020407715055625886,-9.284091356676072e-05,0.00023043216788209975,-0.00012297366629354656
-3.4821865558624268,31.730310440063477,-0.00844727735966444,0.003529323497787118,-0.00014890363672748208,-0.0016322995070368052,-0.00010720867430791259,0.00021195961744524539,-8.309663098771125e-05,0.0002322980872122571,-0.0001275471440749243
-3.2288670539855957,31.73348617553711,-0.005991025827825069,0.0034774846863001585,-0.00014759632176719606,-0.0011916387593373656,-0.00011359908967278898,0.00022719413391314447,-7.326657942030579e-05,0.00024227797985076904,-0.00012868293561041355
