2,1.2152,175
0,0.10578,335
2,1.1766,195
2,2.2459,115
3,2.0795,399
0,0.76563,165
0,0.46325,115
0,0.36654,125
2,1.0094,175
0,0.058687,125
1,1.0265,135
1,1.0025,135
2,1.2708,185
2,1.1543,225
0,1.1635,95
1,1.0011,135
2,1.3337,325
2,1.3468,185
1,1.0009,215
2,2.8109,135
2,1.1311,305
1,1.0002,135
1,1,185
1,1.0005,175
2,1.1472,195
2,2.7457,155
2,1.05,125
0,0.78451,175
0,0.10708,275
1,1.0023,155
1,1.0021,105
0,0.13557,235
0,0.053454,145
2,3.633,335
2,1.043,245
2,2.4965,105
2,3.2302,135
0,0.073616,155
2,1.2115,185
1,1.0027,75
2,1.3523,205
3,1.4247,399
1,1.0014,85
0,0.087942,175
2,2.9289,125
2,1.141,45
2,1.0571,175
2,1.1578,165
2,1.0734,275
1,1,255
2,2.0893,165
1,1.0038,185
0,0.14181,155
0,0.23614,145
1,1.0093,195
2,1.8691,195
2,1.9675,105
0,0.39629,155
0,0.17481,225
0,0.46902,95
2,1.0121,185
0,0.27925,355
2,1.2382,185
0,0.31384,235
1,1.01,75
2,1.1577,175
2,1.2668,315
0,0.10588,265
1,1,355
2,2.5089,225
2,2.0083,235
2,1.7532,115
2,1.7015,135
1,1.0011,275
1,1.0004,165
0,0.74136,215
2,1.0435,135
2,1.167,155
2,1.1196,165
2,1.1565,215
0,0.099712,165
2,1.1356,205
1,1.0001,175
1,1.0006,295
1,1.0012,205
2,1.1122,145
1,1.0025,155
1,1,75
1,1.0015,85
2,1.063,185
2,1.1498,205
1,1,175
2,1.0719,245
2,1.702,165
1,1.0063,115
0,0.076097,145
0,0.12908,165
0,0.069929,165
1,1.0002,85
2,1.2619,285
