0,0,0,0,0,0,0,-1.0281,0,0,0.99919,0,0,0,0,0,0,0,0,-0.048517,0,0.02009
0,0,0,0,0,-0.031995,0,-0.95142,0,0,0.99757,0,0,0,0,0,0,0,0,0,0,0.018862
0,0,0,0,-0.026002,0,0,-0.9386,0,0,0.99609,0,0,0,0,0,0,0,0,0,0,0.021215
0,-0.030925,0,0,0,0,0,-0.97314,0,0,0.98869,0,0,0,0,0,0,0,0,0,0,0.022368
0,0,-0.047909,0,0,0,0,-1.0193,0,0,0.98991,0,0,0,0,0,0,0,0,-0.023706,0,0.020536
0,0,0,0,0,-0.026355,0,-0.992,0,0,0.99285,0,0,0,0,0,0,0,0,0,0,0.019708
0,0,0,0,0,0,-0.035491,-0.95917,0,0,0.99225,0,0,0,0,0,0,0,0,0,0,0.020471
0,0,0,0,0,0,0,-0.99366,0,0,0.99275,0,0,0,0,0,0,0,0,0,0,0.020653
0,0,0,0,0,0,0,-0.981,0,0,0.99634,0,0,0,0,0,0,0,0,0,0,0.019618
0,0,0,0,0,-0.026798,0,-0.96286,0,0,0.99485,0,0,0,0,0,0,0,0,0,0,0.020115
0,0,0,0,0,0,0,-0.97858,0,0,1.0036,0,0,-0.020849,0,0,0,0,0,0,0,0.020101
0,0,-0.097247,0,0,0,0,-0.95619,0,0,0.98855,0.0060693,0,0,0,0,0,0,0,0,0,0.01852
0,-0.030808,0,0,0,0,0,-0.97741,0,0,0.99079,0,0,0,0,0,0,0,0,0,0,0.018997
0,0,0,0,0,0,0,-1.0896,0.17838,0,0.99486,0,0,0,0,0,0,0,0,0,0,0.018924
0,0,0,0,0,-0.031897,0,-0.98287,0,0,0.99617,0,0,0,0,0,0,0,0,0,0,0.018162
0,0,0,0,0,0,0,-0.97004,0,0,0.99595,0,0,0,0,0,0,0,0,0,0,0.020512
0,0,0,0,0,0,0,-1.0154,0,0,0.99639,0,0,0,0,0,0,0,0,-0.032162,0,0.021066
0,0,0,0,0,0,0,-0.98766,0,0,0.9948,0,0,0,0,0,0,0,0,0,0,0.016908
0,0,0,0,0,0,0,-0.95829,0,0,0.99355,0,0,0,0,0,0,0,0,0,0,0.019362
0,0,0,0,0,0,0,-0.97956,0,-0.050064,0.99274,0,0,0,0,0,0,0,0,0,0,0.019075
0,0,0,0,0,-0.0247,0,-0.95528,0,0,0.99438,0,0,0,0,0,0,0,0,0,0,0.019124
0,0,0,0,0,0,0,-0.97678,0,0,0.9965,0,0,0,0,0,0,0,0,0,0,0.021164
0,0,0,0,0,0,0,-0.97224,0,0,0.99649,0,0,0,0,0,0,0,0,0,0,0.01752
