2,1.1042,285
0,0.040902,125
2,1.1164,165
2,1.8426,345
0,0.38243,175
0,0.40708,205
0,0.25563,145
0,0.19296,245
2,1.0274,95
0,0.14076,165
2,1.6055,115
0,0.24256,135
0,0.032264,175
2,1.1121,185
0,0.38522,245
0,0.13554,165
0,0.029141,105
0,0.050961,195
2,1.3582,205
2,2.3083,185
0,0.23325,195
2,1.1017,155
2,1.5778,155
0,0.1375,205
0,0.19606,235
0,0.25366,195
2,1.7213,335
0,0.39331,165
0,0.078045,225
0,0.28856,305
0,0.34226,195
0,0.072025,155
0,0.04842,185
0,0.099211,285
2,1.7517,215
2,1.0344,205
1,0.60655,105
0,0.033906,215
2,1.2392,315
0,0.24781,175
0,0.13923,165
1,0.33095,195
2,1.0838,275
0,0.14532,225
2,2.3808,135
0,0.049647,255
0,0.12027,175
2,1.1105,245
0,0.13274,95
2,1.1859,75
0,0.034414,215
2,1.7359,175
0,0.13455,315
0,0.13514,145
0,0.17938,175
0,0.076896,215
2,1.8549,165
0,0.14796,145
0,0.10334,265
1,0.22859,335
2,1.8174,215
0,0.11993,195
2,1.2224,225
0,0.18825,195
0,0.20559,355
0,0.15042,155
0,0.077024,245
0,0.030087,215
0,0.25912,175
2,2.2535,165
0,0.0079663,155
0,0.11255,185
2,1.3688,255
2,1.6149,265
0,0.14701,225
0,0.48705,135
2,1.6476,165
2,1.1138,195
2,1.2584,255
0,0.099457,175
0,0.049732,185
0,0.18736,165
2,1.0502,195
1,0.44117,275
2,1.1355,345
0,0.015008,165
2,1.2261,285
0,0.052792,175
2,1.7123,305
0,0.07725,295
2,1.1242,115
3,1.1658,305
0,0.14615,195
2,1.7856,165
0,0.043943,205
0,0.044007,255
0,0.018108,205
0,0.11887,155
0,0.10303,245
0,0.030264,255
